timestamp, index, name, memory.used [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/09/17 16:30:12.598, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 58, 100.71 W
2026/09/17 16:30:14.614, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 36 %, 59, 76.60 W
2026/09/17 16:30:14.614, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 58, 99.89 W
2026/09/17 16:30:16.630, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 39 %, 58, 76.03 W
2026/09/17 16:30:16.630, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 56, 100.37 W
2026/09/17 16:30:18.645, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 37 %, 58, 74.80 W
2026/09/17 16:30:18.645, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 57, 100.40 W
2026/09/17 16:30:20.662, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 39 %, 57, 75.00 W
2026/09/17 16:30:20.662, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 56, 99.76 W
2026/09/17 16:30:22.676, 0, NVIDIA GeForce RTX 4070 SUPER, 6595 MiB, 37 %, 62, 110.29 W
2026/09/17 16:30:22.676, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 58, 127.44 W
2026/09/17 16:30:24.677, 0, NVIDIA GeForce RTX 4070 SUPER, 6591 MiB, 0 %, 59, 122.15 W
2026/09/17 16:30:24.677, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 98 %, 66, 146.56 W
2026/09/17 16:30:26.692, 0, NVIDIA GeForce RTX 4070 SUPER, 6591 MiB, 40 %, 61, 103.23 W
2026/09/17 16:30:26.692, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 58, 100.75 W
2026/09/17 16:30:28.704, 0, NVIDIA GeForce RTX 4070 SUPER, 6591 MiB, 38 %, 60, 83.54 W
2026/09/17 16:30:28.704, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 58, 100.26 W
2026/09/17 16:30:30.706, 0, NVIDIA GeForce RTX 4070 SUPER, 6593 MiB, 40 %, 58, 76.10 W
2026/09/17 16:30:30.706, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 57, 100.41 W
2026/09/17 16:30:32.721, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 36 %, 59, 75.50 W
2026/09/17 16:30:32.721, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 56, 100.41 W
2026/09/17 16:30:34.723, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 37 %, 59, 74.90 W
2026/09/17 16:30:34.723, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 56, 99.93 W
2026/09/17 16:30:36.738, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 37 %, 59, 74.82 W
2026/09/17 16:30:36.738, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 57, 99.99 W
2026/09/17 16:30:38.751, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 41 %, 62, 112.30 W
2026/09/17 16:30:38.751, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 58, 127.70 W
2026/09/17 16:30:40.755, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 39 %, 59, 92.76 W
2026/09/17 16:30:40.755, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 58, 99.55 W
2026/09/17 16:30:42.770, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 40 %, 59, 77.67 W
2026/09/17 16:30:42.770, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 58, 99.88 W
2026/09/17 16:30:44.771, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 75 %, 60, 85.90 W
2026/09/17 16:30:44.771, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 63, 94.18 W
2026/09/17 16:30:46.772, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 35 %, 63, 99.43 W
2026/09/17 16:30:46.772, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 56, 108.90 W
2026/09/17 16:30:48.785, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 36 %, 62, 89.95 W
2026/09/17 16:30:48.785, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 56, 101.23 W
2026/09/17 16:30:50.789, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 39 %, 58, 77.99 W
2026/09/17 16:30:50.789, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 58, 100.24 W
2026/09/17 16:30:52.802, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 39 %, 69, 85.61 W
2026/09/17 16:30:52.802, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 65, 89.87 W
2026/09/17 16:30:54.817, 0, NVIDIA GeForce RTX 4070 SUPER, 6584 MiB, 35 %, 60, 94.89 W
2026/09/17 16:30:54.817, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 58, 100.24 W
2026/09/17 16:30:56.833, 0, NVIDIA GeForce RTX 4070 SUPER, 6584 MiB, 41 %, 59, 79.47 W
2026/09/17 16:30:56.833, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 59, 100.09 W
2026/09/17 16:30:58.848, 0, NVIDIA GeForce RTX 4070 SUPER, 6584 MiB, 36 %, 60, 76.11 W
2026/09/17 16:30:58.848, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 56, 100.30 W
2026/09/17 16:31:00.865, 0, NVIDIA GeForce RTX 4070 SUPER, 6584 MiB, 35 %, 59, 75.09 W
2026/09/17 16:31:00.865, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 58, 99.72 W
2026/09/17 16:31:02.878, 0, NVIDIA GeForce RTX 4070 SUPER, 6584 MiB, 42 %, 58, 74.65 W
2026/09/17 16:31:02.878, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 58, 99.80 W
2026/09/17 16:31:04.880, 0, NVIDIA GeForce RTX 4070 SUPER, 6591 MiB, 39 %, 59, 74.78 W
2026/09/17 16:31:04.880, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 56, 99.63 W
2026/09/17 16:31:06.895, 0, NVIDIA GeForce RTX 4070 SUPER, 6591 MiB, 40 %, 61, 112.48 W
2026/09/17 16:31:06.895, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 59, 127.14 W
2026/09/17 16:31:08.911, 0, NVIDIA GeForce RTX 4070 SUPER, 6571 MiB, 39 %, 62, 108.39 W
2026/09/17 16:31:08.911, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 57, 98.65 W
2026/09/17 16:31:10.913, 0, NVIDIA GeForce RTX 4070 SUPER, 6574 MiB, 34 %, 64, 107.10 W
2026/09/17 16:31:10.913, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 56 %, 57, 98.74 W
2026/09/17 16:31:12.913, 0, NVIDIA GeForce RTX 4070 SUPER, 6574 MiB, 40 %, 62, 102.76 W
2026/09/17 16:31:12.913, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 58, 99.74 W
2026/09/17 16:31:14.926, 0, NVIDIA GeForce RTX 4070 SUPER, 6574 MiB, 49 %, 63, 141.73 W
2026/09/17 16:31:14.926, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 64, 143.67 W
2026/09/17 16:31:16.939, 0, NVIDIA GeForce RTX 4070 SUPER, 6598 MiB, 35 %, 65, 108.95 W
2026/09/17 16:31:16.939, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 57, 101.79 W
2026/09/17 16:31:18.945, 0, NVIDIA GeForce RTX 4070 SUPER, 6598 MiB, 38 %, 61, 86.50 W
2026/09/17 16:31:18.945, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 59, 100.58 W
2026/09/17 16:31:20.962, 0, NVIDIA GeForce RTX 4070 SUPER, 6598 MiB, 36 %, 61, 78.01 W
2026/09/17 16:31:20.962, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 56, 101.36 W
2026/09/17 16:31:22.975, 0, NVIDIA GeForce RTX 4070 SUPER, 6598 MiB, 37 %, 61, 76.43 W
2026/09/17 16:31:22.975, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 58, 100.64 W
2026/09/17 16:31:24.980, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 92 %, 63, 72.52 W
2026/09/17 16:31:24.980, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 34 %, 57, 73.70 W
2026/09/17 16:31:26.989, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 34 %, 64, 107.91 W
2026/09/17 16:31:26.989, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 58, 100.75 W
2026/09/17 16:31:28.997, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 34 %, 62, 86.86 W
2026/09/17 16:31:28.997, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 55 %, 58, 100.56 W
2026/09/17 16:31:31.008, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 40 %, 60, 76.32 W
2026/09/17 16:31:31.008, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 58, 99.60 W
2026/09/17 16:31:33.023, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 38 %, 59, 76.22 W
2026/09/17 16:31:33.023, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 56, 100.78 W
2026/09/17 16:31:35.039, 0, NVIDIA GeForce RTX 4070 SUPER, 6599 MiB, 35 %, 61, 75.75 W
2026/09/17 16:31:35.039, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 59, 99.89 W
2026/09/17 16:31:37.054, 0, NVIDIA GeForce RTX 4070 SUPER, 6602 MiB, 38 %, 62, 76.25 W
2026/09/17 16:31:37.054, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 64, 84.07 W
2026/09/17 16:31:39.066, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 26 %, 64, 93.01 W
2026/09/17 16:31:39.066, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 62 %, 57, 109.68 W
2026/09/17 16:31:41.068, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 29 %, 62, 114.25 W
2026/09/17 16:31:41.068, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 77 %, 61, 144.41 W
2026/09/17 16:31:43.071, 0, NVIDIA GeForce RTX 4070 SUPER, 6617 MiB, 40 %, 63, 103.68 W
2026/09/17 16:31:43.071, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 57, 101.80 W
2026/09/17 16:31:45.086, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 36 %, 61, 85.54 W
2026/09/17 16:31:45.086, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 59, 100.81 W
2026/09/17 16:31:47.099, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 12 %, 61, 119.25 W
2026/09/17 16:31:47.099, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 94 %, 67, 147.26 W
2026/09/17 16:31:49.100, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 36 %, 64, 103.11 W
2026/09/17 16:31:49.100, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 62 %, 59, 101.45 W
2026/09/17 16:31:51.111, 0, NVIDIA GeForce RTX 4070 SUPER, 6614 MiB, 63 %, 73, 93.82 W
2026/09/17 16:31:51.111, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 66, 89.94 W
2026/09/17 16:31:53.114, 0, NVIDIA GeForce RTX 4070 SUPER, 6607 MiB, 38 %, 65, 103.43 W
2026/09/17 16:31:53.114, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 58, 114.71 W
2026/09/17 16:31:55.131, 0, NVIDIA GeForce RTX 4070 SUPER, 6607 MiB, 38 %, 62, 91.41 W
2026/09/17 16:31:55.131, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 59 %, 58, 101.31 W
2026/09/17 16:31:57.145, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 92 %, 66, 66.04 W
2026/09/17 16:31:57.145, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 12 %, 52, 64.93 W
2026/09/17 16:31:59.154, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 34 %, 65, 109.01 W
2026/09/17 16:31:59.154, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 60, 100.37 W
2026/09/17 16:32:01.168, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 34 %, 62, 84.69 W
2026/09/17 16:32:01.168, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 63 %, 58, 100.57 W
2026/09/17 16:32:03.182, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 36 %, 62, 76.63 W
2026/09/17 16:32:03.182, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 57, 100.31 W
2026/09/17 16:32:05.194, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 93 %, 64, 79.37 W
2026/09/17 16:32:05.194, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 49 %, 60, 84.82 W
2026/09/17 16:32:07.206, 0, NVIDIA GeForce RTX 4070 SUPER, 6601 MiB, 36 %, 63, 109.82 W
2026/09/17 16:32:07.206, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 60, 123.11 W
2026/09/17 16:32:09.212, 0, NVIDIA GeForce RTX 4070 SUPER, 6606 MiB, 34 %, 66, 105.53 W
2026/09/17 16:32:09.212, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 58, 123.82 W
2026/09/17 16:32:11.221, 0, NVIDIA GeForce RTX 4070 SUPER, 6605 MiB, 40 %, 62, 93.92 W
2026/09/17 16:32:11.221, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 59, 99.87 W
2026/09/17 16:32:13.223, 0, NVIDIA GeForce RTX 4070 SUPER, 6582 MiB, 41 %, 62, 92.31 W
2026/09/17 16:32:13.223, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 60 %, 60, 100.65 W
2026/09/17 16:32:15.239, 0, NVIDIA GeForce RTX 4070 SUPER, 6530 MiB, 42 %, 61, 80.75 W
2026/09/17 16:32:15.239, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 61 %, 59, 99.92 W
2026/09/17 16:32:17.241, 0, NVIDIA GeForce RTX 4070 SUPER, 6541 MiB, 35 %, 60, 79.78 W
2026/09/17 16:32:17.241, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 62 %, 58, 99.59 W
2026/09/17 16:32:19.249, 0, NVIDIA GeForce RTX 4070 SUPER, 6542 MiB, 38 %, 61, 77.03 W
2026/09/17 16:32:19.249, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 59, 100.23 W
2026/09/17 16:32:21.256, 0, NVIDIA GeForce RTX 4070 SUPER, 6541 MiB, 28 %, 73, 91.02 W
2026/09/17 16:32:21.256, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 66, 94.18 W
2026/09/17 16:32:23.270, 0, NVIDIA GeForce RTX 4070 SUPER, 6536 MiB, 35 %, 62, 107.65 W
2026/09/17 16:32:23.270, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 55 %, 59, 100.83 W
2026/09/17 16:32:25.286, 0, NVIDIA GeForce RTX 4070 SUPER, 6526 MiB, 38 %, 60, 84.22 W
2026/09/17 16:32:25.286, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 59, 100.20 W
2026/09/17 16:32:27.293, 0, NVIDIA GeForce RTX 4070 SUPER, 6528 MiB, 35 %, 61, 76.61 W
2026/09/17 16:32:27.293, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 57 %, 58, 100.30 W
2026/09/17 16:32:29.304, 0, NVIDIA GeForce RTX 4070 SUPER, 6530 MiB, 35 %, 61, 76.20 W
2026/09/17 16:32:29.304, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 58 %, 57, 100.62 W
2026/09/17 16:32:31.319, 0, NVIDIA GeForce RTX 4070 SUPER, 6530 MiB, 58 %, 68, 111.38 W
2026/09/17 16:32:31.319, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 99 %, 66, 104.03 W
2026/09/17 16:32:33.333, 0, NVIDIA GeForce RTX 4070 SUPER, 6531 MiB, 0 %, 60, 93.78 W
2026/09/17 16:32:33.333, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 1 %, 54, 102.15 W
2026/09/17 16:32:35.345, 0, NVIDIA GeForce RTX 4070 SUPER, 6529 MiB, 40 %, 63, 95.19 W
2026/09/17 16:32:35.345, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 64 %, 60, 103.73 W
2026/09/17 16:32:37.353, 0, NVIDIA GeForce RTX 4070 SUPER, 6528 MiB, 34 %, 62, 88.67 W
2026/09/17 16:32:37.353, 1, NVIDIA GeForce RTX 5060 Ti, 6935 MiB, 56 %, 59, 100.77 W
